,City,Country,Latitude,Longitude,Collection Time,Temperature,Feels Like,Humidity,High,Low,Wind Speed,Top Weather Description
0,Bengkulu,ID,-3.8,-3.8,20 Sep 2020 14:51:24 -0500,76.15,84.11,90,76.15,76.15,2.24,overcast clouds
1,Saint-Philippe,RE,-21.36,-21.36,20 Sep 2020 14:51:25 -0500,62.33,61.43,72,66.99,54.0,3.36,scattered clouds
2,Cherskiy,RU,68.75,68.75,20 Sep 2020 14:51:29 -0500,29.7,24.26,96,29.7,29.7,2.51,clear sky
3,Qaanaaq,GL,77.48,77.48,20 Sep 2020 14:57:58 -0500,21.56,14.86,93,21.56,21.56,3.0,overcast clouds
4,Chapais,CA,49.78,49.78,20 Sep 2020 14:58:00 -0500,51.8,40.53,40,51.8,51.8,12.75,broken clouds
5,Bom Jesus,BR,-9.07,-9.07,20 Sep 2020 14:58:01 -0500,99.63,96.42,18,99.63,99.63,5.14,few clouds
6,Vaini,TO,-21.2,-21.2,20 Sep 2020 14:58:02 -0500,73.4,75.47,83,73.4,73.4,8.05,broken clouds
7,Karratha,AU,-20.74,-20.74,20 Sep 2020 14:58:03 -0500,66.06,55.31,25,66.06,66.06,12.06,clear sky
8,Yellowknife,CA,62.46,62.46,20 Sep 2020 14:58:05 -0500,55.15,49.15,58,55.4,55.0,6.93,broken clouds
9,Aksu,CN,41.12,41.12,20 Sep 2020 14:58:06 -0500,56.93,54.28,60,56.93,56.93,1.9,clear sky
10,Solnechnyy,RU,50.72,50.72,20 Sep 2020 14:58:07 -0500,41.07,36.01,75,41.07,41.07,3.11,broken clouds
11,Mahébourg,MU,-20.41,-20.41,20 Sep 2020 14:58:08 -0500,71.6,67.39,73,71.6,71.6,14.99,broken clouds
12,Lavrentiya,RU,65.58,65.58,20 Sep 2020 14:58:09 -0500,37.92,29.62,82,37.92,37.92,8.63,overcast clouds
13,Ambovombe,MG,-25.17,-25.17,20 Sep 2020 14:58:11 -0500,73.62,69.67,40,73.62,73.62,6.11,clear sky
14,Trairi,BR,-3.28,-3.28,20 Sep 2020 14:58:12 -0500,79.95,79.39,71,79.95,79.95,14.25,broken clouds
15,Butaritari,KI,3.07,3.07,20 Sep 2020 14:58:13 -0500,82.44,83.84,75,82.44,82.44,14.56,overcast clouds
16,Labuhan,ID,-6.88,-6.88,20 Sep 2020 14:58:14 -0500,78.39,81.9,79,78.39,78.39,8.52,scattered clouds
